file_Size_bytes	number_of_files	bandwidth_Gbps	rtt_ms	buffer_size_bytes	p	cc	pp	fast	throughput_MByteps	time_sec	start_time_mm_dd_yyyy_hh_mm
209715259	69	10	39	49920000	8	8	4	0	402.44640273	34.2902901173	05:20:2016-17:59
209715259	69	10	39	49920000	8	8	4	1	440.523401676	31.3263809681	05:20:2016-18:00
209715259	69	10	39	49920000	8	8	8	0	300.815464872	45.8753139973	05:20:2016-18:00
209715259	69	10	39	49920000	8	8	8	1	307.360615408	44.8984131813	05:20:2016-18:01
209715259	69	10	39	49920000	8	8	16	0	289.990171607	47.5878331661	05:20:2016-18:02
209715259	69	10	39	49920000	8	8	16	1	208.609339623	66.1523780823	05:20:2016-18:03
209715259	69	10	39	49920000	8	8	32	0	214.636769275	64.2946870327	05:20:2016-18:04
209715259	69	10	39	49920000	8	8	32	1	210.35348785	65.6038749218	05:20:2016-18:05
209715259	69	10	39	49920000	8	16	1	0	451.392496168	30.5720720291	05:20:2016-18:06
209715259	69	10	39	49920000	8	16	1	1	486.635264918	28.3580021858	05:20:2016-18:06
209715259	69	10	39	49920000	8	16	2	0	517.340906705	26.6748747826	05:20:2016-18:07
209715259	69	10	39	49920000	8	16	2	1	465.315413242	29.6573109627	05:20:2016-18:07
209715259	69	10	39	49920000	8	16	4	0	503.695918636	27.3974900246	05:20:2016-18:08
209715259	69	10	39	49920000	8	16	4	1	449.062360672	30.7307071686	05:20:2016-18:08
209715259	69	10	39	49920000	8	16	8	0	397.14782077	34.7477769852	05:20:2016-18:09
209715259	69	10	39	49920000	8	16	8	1	340.122319435	40.5736498833	05:20:2016-18:09
209715259	69	10	39	49920000	8	16	16	0	247.115981061	55.8442389965	05:20:2016-18:10
209715259	69	10	39	49920000	8	16	16	1	289.673398126	47.6398730278	05:20:2016-18:11
209715259	69	10	39	49920000	8	16	32	0	229.389647927	60.159662962	05:20:2016-18:12
209715259	69	10	39	49920000	8	16	32	1	193.471188457	71.3284702301	05:20:2016-18:13
209715259	69	10	39	49920000	8	32	1	0	533.567382999	25.8636572361	05:20:2016-18:14
209715259	69	10	39	49920000	8	32	1	1	516.42309023	26.7222828865	05:20:2016-18:14
209715259	69	10	39	49920000	8	32	2	0	550.696746014	25.0591709614	05:20:2016-18:15
209715259	69	10	39	49920000	8	32	2	1	541.647474045	25.4778330326	05:20:2016-18:15
209715259	69	10	39	49920000	8	32	4	0	394.229012047	35.0050439835	05:20:2016-18:16
209715259	69	10	39	49920000	8	32	4	1	394.787588511	34.9555160999	05:20:2016-18:16
