file_size,number_of_files,bandwidth,rtt,buffer_size,p,cc,pp,throughput,time,source,destination
1048640,512,10000,0.04,33554432,8,16,32,720.603053,5.684512138,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,4,4,4,315.8009184,6.186393023,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,4,1,32,207.62391509999998,4.932488918,Stampede,Gordon/oasis
512069,1000,10000,0.04,33554432,1,8,4,829.9903576,4.70707202,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,4,4,1,377.0876702,5.431555986,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,8,32,1,242.7775221,4.119724035,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,2,2,8,723.3967662,11.05967307,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,32,32,2,803.676033,9.954935074,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,4,32,16,6064.075109,21.61455297,Stampede,Gordon/Oasis
1048672,128,10000,0.04,33554432,8,8,16,181.1531555,5.6532700060000005,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,4,2,32,594.2912677,6.8927090170000005,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,8,4,8,156.0559711,3.205046892,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,2,1,4,203.5889246,4.912704945,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,4,8,8,151.7989445,3.294487953,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,1,4,32,544.949618,3.6706280710000003,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,16,1,16,180.33332969999998,5.546247006000001,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,8,4,32,1245.4086849999999,41.11106586,Stampede,Gordon/Oasis
1073742080,16,10000,0.04,33554432,2,2,32,1928.419664,67.96866202,Stampede,Gordon/Oasis
512080,256,10000,0.04,33554432,4,32,1,268.4276991,3.726022959,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,1,1,4,277.5391889,7.207280873999999,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,1,8,8,473.76429670000005,4.123725176000001,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,1,32,16,479.7937996,4.2689030169999995,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,4,4,8,235.4892937,4.348869085,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,4,4,1,227.6568767,17.99313402,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,16,16,2,6847.536134,19.14153194,Stampede,Gordon/Oasis
512080,256,10000,0.04,33554432,4,8,32,261.5323714,3.824301958,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,32,4,32,338.57780560000003,5.770253897000001,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,16,32,4,728.9550716,5.619421958999999,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,1,2,8,289.3061331,6.752985001,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,4,32,16,563.1137650000001,3.4694159030000002,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,32,32,16,360.23788460000003,5.68561697,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,2,1,1,62.27705587,8.031224012000001,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,16,8,4,294.75981360000003,6.948603153,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,4,8,2,388.81053169999996,5.024762869,Stampede,Gordon/oasis
